Designator,Mid X,Mid Y,Rotation,Layer
C1,178.689,-105.283,180.0,top
D1,177.8,-100.838,180.0,top
J2,90.424,-89.662,180.0,top
SW2,177.038,-77.692,180.0,top
R1,175.577,-85.09,0.0,top
R2,179.641,-85.09,0.0,top
RN1,103.124,-89.408,90.0,top
RN2,103.124,-93.218,90.0,top
SW1,187.96,-81.026,90.0,top
